id,fecha,cant_pacientes,ocupacion_total,ocupacion_covid,camas_operativas,camas_ocupadas,ingresos,fallecimientos,altas_medicas
1,15/03/2021,131,60.1,16.6,790,475,13,2,4
2,15/01/2021,116,59.5,15.2,763,454,11,4,2
3,16/01/2021,115,57.7,15.1,763,440,6,4,3
4,17/01/2021,114,59.1,14.9,763,451,8,5,4
5,18/01/2021,113,55.7,14.8,763,425,6,6,1
6,19/01/2021,104,57.1,13.8,753,430,5,5,9
7,21/01/2021,98,55,12.7,769,423,4,6,6
8,23/01/2021,96,56.1,12.7,770,432,5,5,0
9,25/01/2021,99,56.6,12.9,770,436,7,4,3
10,28/01/2021,90,57.6,11,795,458,0,0,0
11,29/01/2021,95,56.3,12,792,446,11,3,3
12,01/02/2021,89,53.7,11.3,788,423,7,3,5
13,03/02/2021,90,53.7,11.4,789,424,7,7,5
14,05/02/2021,91,52.9,11.5,789,417,6,1,6
15,10/02/2021,76,50.3,9.6,791,398,7,3,4
16,15/02/2021,81,51.8,10.3,787,408,5,4,4
17,16/02/2021,80,53,10,787,417,6,4,3
18,17/02/2021,71,52,9,791,415,0,3,7
19,18/02/2021,71,52,9,792,416,7,2,5
20,19/02/2021,72,56,9,792,448,3,1,1
21,20/02/2021,69,56,9,797,448,1,1,3
22,21/02/2021,65,52.7,8.2,797,420,3,2,5
23,22/02/2021,68,54.3,8.5,796,432,7,2,2
24,23/02/2021,65,57.3,8.1,797,457,6,5,4
25,24/02/2021,62,56.2,7.8,797,448,4,4,3
26,25/02/2021,61,56.4,7.7,796,449,4,1,4
27,26/02/2021,67,55.8,8.6,792,444,12,4,2
28,27/02/2021,71,54.7,9,792,433,8,0,4
29,28/02/2021,76,56.1,9.6,792,444,6,1,0
30,01/03/2021,76,56.2,9.6,792,445,4,2,2
31,02/03/2021,75,58.5,9.5,790,460,5,4,2
32,03/03/2021,80,56.8,10.1,790,449,8,2,1
33,04/03/2021,79,57.7,10,790,454,4,1,4
34,05/03/2021,80,58.4,10.1,790,461,7,3,3
35,06/03/2021,83,55.9,10.5,790,442,10,5,2
36,07/03/2021,87,54.7,11,790,432,7,2,1
37,08/03/2021,87,55.5,11,794,441,8,4,4
38,09/03/2021,88,56.4,11.1,794,448,7,4,2
39,10/03/2021,91,55.8,11.4,795,448,12,6,3
40,11/03/2021,102,56.2,12.8,795,447,15,1,3
41,12/03/2021,110,56.6,13.8,795,450,19,9,2
42,13/03/2021,117,55.2,14.7,795,439,11,3,1
43,14/03/2021,124,57.6,15.5,801,461,17,5,5
44,16/03/2021,135,59.1,17,792,468,11,1,6
45,17/03/2021,143,57.7,18.1,792,457,20,6,6
46,18/03/2021,151,62.4,19.1,792,494,17,2,7
47,19/03/2021,164,65.9,20.7,792,522,23,4,6
48,20/03/2021,174,65.8,21.9,796,524,21,9,3
49,21/03/2021,175,64.3,22,795,511,15,12,2
50,22/03/2021,188,62.3,23.6,795,495,23,7,3
51,23/03/2021,202,63.6,25.4,795,504,29,7,8
52,24/03/2021,225,65.3,28.4,792,517,35,3,9
53,25/03/2021,236,63.9,29.5,800,511,28,7,10
54,26/03/2021,248,67.2,30.7,807,542,38,11,15
55,27/03/2021,273,69.3,33.5,814,564,43,7,11
56,28/03/2021,295,67.7,35.6,827,560,29,4,3
57,29/03/2021,306,69,36,849,586,26,8,7
58,30/03/2021,331,68,39,858,584,44,13,6
59,31/03/2021,339,70,39.4,860,604,29,9,12
60,01/04/2021,360,70,41.9,865,606,38,9,7
61,02/04/2021,368,69,42.7,862,594,32,13,11
62,03/04/2021,384,70.5,44,872,615,46,13,9
63,04/04/2021,393,71.3,44.8,877,626,34,17,8
64,05/04/2021,404,72,45.5,887,639,27,8,8
65,06/04/2021,432,75,48,901,676,53,14,11
66,07/04/2021,436,76,48,907,689,43,24,15
67,08/04/2021,447,75.9,48.3,925,702,40,15,11
68,09/04/2021,460,76.4,49.6,928,709,55,19,25
69,10/04/2021,483,77.8,51.8,932,725,55,21,11
70,11/04/2021,491,79.1,52.5,937,740,42,22,12
71,12/04/2021,504,77.2,53.4,943,728,50,24,13
72,13/04/2021,502,77.6,53,948,736,45,33,14
